class_id,subgroup,cue_3w,n_present,n_absent,acc_present,acc_absent,acc_diff
1,2,bird positioned near,64,6,0.5625,0.3333333432674408,0.2291666567325592
1,0,bird near vertical,10,60,0.4000000059604645,0.23333333432674408,0.1666666716337204
0,2,bird in motion,34,36,0.529411792755127,0.4444444477558136,0.08496734499931335
0,1,bird near water,31,39,0.6774193644523621,0.7948718070983887,-0.11745244264602661
1,0,dense bamboo background,14,56,0.1428571492433548,0.2857142984867096,-0.1428571492433548
0,1,water reflection present,18,52,0.6111111044883728,0.7884615659713745,-0.1773504614830017
0,2,water background presence,65,5,0.4615384638309479,0.800000011920929,-0.3384615480899811
1,2,bamboo background presence,12,58,0.1666666716337204,0.6206896305084229,-0.45402295887470245
